namespace,subgroup,class,threshold
age,age_mature,Amateur,0.39
age,age_mature,Anal,0.43
age,age_mature,Asian,0.05
age,age_mature,Big Tits,0.78
age,age_mature,Blonde,0.51
age,age_mature,Blowjob,0.47000000000000003
age,age_mature,Cumshot,0.62
age,age_mature,Fetish,0.67
age,age_mature,Group,0.48
age,age_mature,Interracial,0.08
age,age_mature,Lesbian,0.52
age,age_mature,Masturbation,0.37
age,age_mature,Teens,0.06
age,age_young,Amateur,0.63
age,age_young,Anal,0.58
age,age_young,Asian,0.77
age,age_young,Big Tits,0.13
age,age_young,Blonde,0.27
age,age_young,Blowjob,0.27
age,age_young,Cumshot,0.34
age,age_young,Fetish,0.43
age,age_young,Group,0.87
age,age_young,Interracial,0.34
age,age_young,Lesbian,0.15
age,age_young,Masturbation,0.38
age,age_young,Teens,0.59
gender,gender_female,Amateur,0.66
gender,gender_female,Anal,0.75
gender,gender_female,Asian,0.5
gender,gender_female,Big Tits,0.58
gender,gender_female,Blonde,0.41000000000000003
gender,gender_female,Blowjob,0.21
gender,gender_female,Cumshot,0.28
gender,gender_female,Fetish,0.47000000000000003
gender,gender_female,Group,0.9400000000000001
gender,gender_female,Interracial,0.5
gender,gender_female,Lesbian,0.14
gender,gender_female,Masturbation,0.68
gender,gender_female,Teens,0.55
gender,gender_male,Amateur,0.85
gender,gender_male,Anal,0.04
gender,gender_male,Asian,0.27
gender,gender_male,Big Tits,0.24
gender,gender_male,Blonde,0.48
gender,gender_male,Blowjob,0.4
gender,gender_male,Cumshot,0.52
gender,gender_male,Fetish,0.04
gender,gender_male,Group,0.63
gender,gender_male,Interracial,0.09
gender,gender_male,Lesbian,0.5
gender,gender_male,Masturbation,0.17
gender,gender_male,Teens,0.12
hair_color,blonde,Amateur,0.08
hair_color,blonde,Anal,0.36
hair_color,blonde,Asian,0.05
hair_color,blonde,Big Tits,0.19
hair_color,blonde,Blonde,0.9
hair_color,blonde,Blowjob,0.65
hair_color,blonde,Cumshot,0.52
hair_color,blonde,Fetish,0.17
hair_color,blonde,Group,0.42
hair_color,blonde,Interracial,0.05
hair_color,blonde,Lesbian,0.29
hair_color,blonde,Masturbation,0.34
hair_color,blonde,Teens,0.07
hair_color,brunette,Amateur,0.07
hair_color,brunette,Anal,0.63
hair_color,brunette,Asian,0.58
hair_color,brunette,Big Tits,0.15
hair_color,brunette,Blonde,0.08
hair_color,brunette,Blowjob,0.76
hair_color,brunette,Cumshot,0.72
hair_color,brunette,Fetish,0.37
hair_color,brunette,Group,0.6900000000000001
hair_color,brunette,Interracial,0.75
hair_color,brunette,Lesbian,0.51
hair_color,brunette,Masturbation,0.68
hair_color,brunette,Teens,0.65
hair_color,redhead,Amateur,0.43
hair_color,redhead,Anal,0.58
hair_color,redhead,Asian,0.03
hair_color,redhead,Big Tits,0.52
hair_color,redhead,Blonde,0.38
hair_color,redhead,Blowjob,0.42
hair_color,redhead,Cumshot,0.74
hair_color,redhead,Fetish,0.56
hair_color,redhead,Group,0.29
hair_color,redhead,Interracial,0.05
hair_color,redhead,Lesbian,0.42
hair_color,redhead,Masturbation,0.54
hair_color,redhead,Teens,0.06
nationality,africa,Amateur,0.5
nationality,africa,Anal,0.06
nationality,africa,Asian,0.04
nationality,africa,Big Tits,0.73
nationality,africa,Blonde,0.79
nationality,africa,Blowjob,0.55
nationality,africa,Cumshot,0.5700000000000001
nationality,africa,Fetish,0.05
nationality,africa,Group,0.2
nationality,africa,Interracial,0.2
nationality,africa,Lesbian,0.1
nationality,africa,Masturbation,0.38
nationality,africa,Teens,0.04
nationality,east_asian,Amateur,0.07
nationality,east_asian,Anal,0.24
nationality,east_asian,Asian,0.97
nationality,east_asian,Big Tits,0.03
nationality,east_asian,Blonde,0.04
nationality,east_asian,Blowjob,0.62
nationality,east_asian,Cumshot,0.8300000000000001
nationality,east_asian,Fetish,0.11
nationality,east_asian,Group,0.9500000000000001
nationality,east_asian,Interracial,0.03
nationality,east_asian,Lesbian,0.07
nationality,east_asian,Masturbation,0.78
nationality,east_asian,Teens,0.06
nationality,europe,Amateur,0.35000000000000003
nationality,europe,Anal,0.35000000000000003
nationality,europe,Asian,0.07
nationality,europe,Big Tits,0.52
nationality,europe,Blonde,0.42
nationality,europe,Blowjob,0.42
nationality,europe,Cumshot,0.65
nationality,europe,Fetish,0.59
nationality,europe,Group,0.9
nationality,europe,Interracial,0.06
nationality,europe,Lesbian,0.12
nationality,europe,Masturbation,0.46
nationality,europe,Teens,0.13
nationality,south_asian,Amateur,0.02
nationality,south_asian,Anal,0.01
nationality,south_asian,Asian,0.03
nationality,south_asian,Big Tits,0.04
nationality,south_asian,Blonde,0.04
nationality,south_asian,Blowjob,0.4
nationality,south_asian,Cumshot,0.03
nationality,south_asian,Fetish,0.5
nationality,south_asian,Group,0.08
nationality,south_asian,Interracial,0.11
nationality,south_asian,Lesbian,0.03
nationality,south_asian,Masturbation,0.33
nationality,south_asian,Teens,0.03
race_ethnicity,asian,Amateur,0.74
race_ethnicity,asian,Anal,0.27
race_ethnicity,asian,Asian,0.9400000000000001
race_ethnicity,asian,Big Tits,0.06
race_ethnicity,asian,Blonde,0.05
race_ethnicity,asian,Blowjob,0.61
race_ethnicity,asian,Cumshot,0.68
race_ethnicity,asian,Fetish,0.11
race_ethnicity,asian,Group,0.9400000000000001
race_ethnicity,asian,Interracial,0.03
race_ethnicity,asian,Lesbian,0.08
race_ethnicity,asian,Masturbation,0.68
race_ethnicity,asian,Teens,0.1
race_ethnicity,black,Amateur,0.68
race_ethnicity,black,Anal,0.36
race_ethnicity,black,Asian,0.28
race_ethnicity,black,Big Tits,0.25
race_ethnicity,black,Blonde,0.07
race_ethnicity,black,Blowjob,0.53
race_ethnicity,black,Cumshot,0.48
race_ethnicity,black,Fetish,0.06
race_ethnicity,black,Group,0.63
race_ethnicity,black,Interracial,0.75
race_ethnicity,black,Lesbian,0.36
race_ethnicity,black,Masturbation,0.48
race_ethnicity,black,Teens,0.08
race_ethnicity,latina,Amateur,0.58
race_ethnicity,latina,Anal,0.43
race_ethnicity,latina,Asian,0.32
race_ethnicity,latina,Big Tits,0.64
race_ethnicity,latina,Blonde,0.36
race_ethnicity,latina,Blowjob,0.46
race_ethnicity,latina,Cumshot,0.42
race_ethnicity,latina,Fetish,0.47000000000000003
race_ethnicity,latina,Group,0.88
race_ethnicity,latina,Interracial,0.07
race_ethnicity,latina,Lesbian,0.12
race_ethnicity,latina,Masturbation,0.49
race_ethnicity,latina,Teens,0.65
race_ethnicity,mixed_or_other,Amateur,0.05
race_ethnicity,mixed_or_other,Anal,0.2
race_ethnicity,mixed_or_other,Asian,0.06
race_ethnicity,mixed_or_other,Big Tits,0.1
race_ethnicity,mixed_or_other,Blonde,0.08
race_ethnicity,mixed_or_other,Blowjob,0.3
race_ethnicity,mixed_or_other,Cumshot,0.64
race_ethnicity,mixed_or_other,Fetish,0.03
race_ethnicity,mixed_or_other,Group,0.48
race_ethnicity,mixed_or_other,Interracial,0.84
race_ethnicity,mixed_or_other,Lesbian,0.06
race_ethnicity,mixed_or_other,Masturbation,0.11
race_ethnicity,mixed_or_other,Teens,0.09
race_ethnicity,white,Amateur,0.05
race_ethnicity,white,Anal,0.71
race_ethnicity,white,Asian,0.04
race_ethnicity,white,Big Tits,0.12
race_ethnicity,white,Blonde,0.84
race_ethnicity,white,Blowjob,0.8200000000000001
race_ethnicity,white,Cumshot,0.88
race_ethnicity,white,Fetish,0.73
race_ethnicity,white,Group,0.42
race_ethnicity,white,Interracial,0.2
race_ethnicity,white,Lesbian,0.72
race_ethnicity,white,Masturbation,0.8
race_ethnicity,white,Teens,0.07
sexuality,sexuality_lesbian,Amateur,0.05
sexuality,sexuality_lesbian,Anal,0.54
sexuality,sexuality_lesbian,Asian,0.14
sexuality,sexuality_lesbian,Big Tits,0.14
sexuality,sexuality_lesbian,Blonde,0.72
sexuality,sexuality_lesbian,Blowjob,0.04
sexuality,sexuality_lesbian,Cumshot,0.02
sexuality,sexuality_lesbian,Fetish,0.2
sexuality,sexuality_lesbian,Group,0.04
sexuality,sexuality_lesbian,Interracial,0.03
sexuality,sexuality_lesbian,Lesbian,0.9500000000000001
sexuality,sexuality_lesbian,Masturbation,0.84
sexuality,sexuality_lesbian,Teens,0.04
